Username,Wallet,TSL2L (Value|Date|Days),TSL1S (Value|Date|Days),SOX3L (Value|Date|Days),SOX3S (Value|Date|Days),SPX3S (Value|Date|Days),SPX3L (Value|Date|Days),Total Value
@Whale00071,GyNxJcmwMdzz,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.01|05-29|4d,$0.00|-|-,$5.01
@MisterX_991,Bg3SN2Qgmgt9,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@ByteBloom1,CJ37jua2wxqt,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@trio_ah13,8JPk8vvG7Xcy,$5.00|05-28|4d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.00
@AlbrightEdet,CQqtSDLdx1yC,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@AzoresNuna,2JwXTHPLjXoz,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@omer7890malik,GzXNbwMUhaNq,$0.00|-|-,$0.00|-|-,$6.25|05-28|4d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$6.25
@Danishsyaf2162,CTymP1s4eG5y,$1.01|05-29|4d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$1.01
@kitsuhelen,BwXF6qNcEXyf,$9.50|05-28|4d,$0.00|-|-,$4.38|05-30|2d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$13.88
@0xfortizo,8dFF6RGmYfkM,$7.64|05-28|5d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$7.64
@jedira16,2UvcMsbWTyVy,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@king_nwanne,2bhehJjteWWp,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.00|05-29|4d,$10.00|05-31|2d,$0.00|-|-,$15.00
@SeintaroXyz,A5VTDzrSPtnu,$4.98|05-27|6d,$0.99|05-28|5d,$1.99|05-27|5d,$1.99|05-27|6d,$5.00|05-28|5d,$8.00|05-30|3d,$22.95
@Lytinh88,84v8Cx1Nk7KX,$5.00|05-28|5d,$0.00|-|-,$1.98|05-28|5d,$0.00|-|-,$0.00|-|-,$2.98|05-28|5d,$9.96
@itach_rohit,5ZKmxM4LeJgJ,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@Lindalit_LLT,D8sLmzxtgc9d,$0.00|-|-,$0.00|-|-,$0.99|05-28|4d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.99
@toanleo91,HkfbRPHjvjoh,$0.00|-|-,$0.00|-|-,$5.80|05-27|5d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.80
@tekketab,Bjivuqea7gfw,$0.00|-|-,$0.00|-|-,$0.99|05-28|4d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.99
@just_dyana22,D36FPiKmxpHL,$6.00|05-26|6d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$6.00
@fatimajal66,B36fzJUA89Gf,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@Naveen869541478,7ECUXvfB7ZXe,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@blackbacci67971,HVhLBcjKA2Yr,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@0xminh0x,76YBf8aEdx7R,$0.00|-|-,$0.00|-|-,$0.09|06-01|1d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.09
@JVazifa,9Zt1JXZcFci7,$0.00|-|-,$10.00|05-31|2d,$14.99|05-31|2d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$24.99
@Mevrick78866670,5CT2CcFoxGr6,$0.00|-|-,$5.09|05-31|2d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.09
@Plis_Hector,FHqqfru5NGcv,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@ajayrajputs_,FugNnuCUhFpS,$0.00|-|-,$0.00|-|-,$3.70|05-28|5d,$0.00|-|-,$0.00|-|-,$1.85|05-28|5d,$5.56
@DrthXyler,4mPNA34fP94F,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@Vi_vian02,5dQbhjsk2pbH,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@promisecase,2ADhLm8mvjVw,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@stylGoat,8JtBcGr8Setu,$14.30|05-26|7d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$14.30
@xbaron9,6vS82VArCjWT,$9.91|05-26|6d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$9.91
@geilis_2,FUwmaC92o8Qv,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@Duttaroy11,32m9CwHRHENx,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
